Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
Sito-aaP3_163_vs.5941_ribofiltered+trimmed	78.90514014206181	7233897
crassa-aP1-sex_163_vs.2489_ribofiltered+trimmed	93.12636694486312	9785646
crassa-aP1_163_vs.2489_ribofiltered+trimmed	94.05700090959158	7695456
crassa-aP2-sex_163_vs.2489_ribofiltered+trimmed	90.86888569016243	6107684
crassa-aP2_163_vs.2489_ribofiltered+trimmed	93.6567622145638	8485460
crassa-aP3_163_vs.2489_ribofiltered+trimmed	94.16824313954734	12210523
crassa-aaP1-sex_163_vs.2489_ribofiltered+trimmed	93.9699170282299	7844401
crassa-aaP1_163_vs.2489_ribofiltered+trimmed	94.8589048020356	9337903
crassa-aaP2-sex_163_vs.2489_ribofiltered+trimmed	92.90357483284893	9522347
crassa-aaP2_163_vs.2489_ribofiltered+trimmed	92.90856725324656	8174682
crassa-aaP3-sex_163_vs.2489_ribofiltered+trimmed	92.99777329629403	9245050
crassa-aaP3_163_vs.2489_ribofiltered+trimmed	94.10203872467085	8869311
crassa-ap3-sex_163_vs.2489_ribofiltered+trimmed	93.81824911400838	12673790
