Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
L6aaP3-sex_merged_vs.2509_ribofiltered+trimmed	17900668	15169342	0	0	386658	0	0	0	0	254500	0	0	2080979	0	9189	84.7417649441909
L6aaP3_merged_vs.2508_ribofiltered+trimmed	9842758	8638675	0	0	18087	0	0	0	0	78709	0	0	1103971	0	3316	87.76681291971214
L6aaP3_merged_vs.2509_ribofiltered+trimmed	13087180	8709669	0	0	39869	0	0	0	0	2572762	0	0	1761405	0	3475	66.55115158498623
Sito-aP1-sex_163_vs.5940_ribofiltered+trimmed	11662923	8412164	0	0	23054	0	0	0	0	642219	0	0	2584042	0	1444	72.12740751182186
Sito-aP1-sex_163_vs.5941_ribofiltered+trimmed	11119846	8406110	0	0	18789	0	0	0	0	73878	0	0	2619463	0	1606	75.59556130543534
Sito-aP1_163_vs.5940_ribofiltered+trimmed	12265045	8023943	0	0	32860	0	0	0	0	2636955	0	0	1570562	0	725	65.42122756174152
Sito-aP1_163_vs.5941_ribofiltered+trimmed	9960133	8020371	0	0	14696	0	0	0	0	196357	0	0	1727736	0	973	80.52473797287647
Sito-aP2-sex_163_vs.5940_ribofiltered+trimmed	11240462	8168857	0	0	18797	0	0	0	0	714178	0	0	2337267	0	1363	72.6736765801975
Sito-aP2-sex_163_vs.5941_ribofiltered+trimmed	10625630	8161845	0	0	14818	0	0	0	0	72251	0	0	2375238	0	1478	76.81281015808004
Sito-aP2_163_vs.5940_ribofiltered+trimmed	11376459	7519386	0	0	30990	0	0	0	0	2516307	0	0	1309123	0	653	66.09601458590937
Sito-aP2_163_vs.5941_ribofiltered+trimmed	9175120	7515699	0	0	12500	0	0	0	0	184490	0	0	1461590	0	841	81.91390412332483
Sito-aP3-sex_163_vs.5940_ribofiltered+trimmed	16967816	11933999	0	0	31687	0	0	0	0	1314610	0	0	3685548	0	1972	70.33314717698495
Sito-aP3-sex_163_vs.5941_ribofiltered+trimmed	15860802	11922742	0	0	23882	0	0	0	0	150777	0	0	3761144	0	2257	75.1711168199439
Sito-aP3_163_vs.5940_ribofiltered+trimmed	12143577	7972789	0	0	41092	0	0	0	0	2728489	0	0	1400478	0	729	65.65437020739441
Sito-aP3_163_vs.5941_ribofiltered+trimmed	9792685	7971764	0	0	16338	0	0	0	0	226496	0	0	1577123	0	964	81.40529384943966
Sito-aaP1-sex_163_vs.5940_ribofiltered+trimmed	16171933	11644806	0	0	41392	0	0	0	0	1492039	0	0	2991885	0	1811	72.00627160649256
Sito-aaP1-sex_163_vs.5941_ribofiltered+trimmed	14984866	11636646	0	0	26120	0	0	0	0	209034	0	0	3110978	0	2088	77.65598971655803
Sito-aaP1_163_vs.5940_ribofiltered+trimmed	8636163	4228214	0	0	225330	0	0	0	0	3408829	0	0	773266	0	524	48.95940477269824
Sito-aaP1_163_vs.5941_ribofiltered+trimmed	5659487	4223766	0	0	140979	0	0	0	0	288383	0	0	1005748	0	611	74.6316053027421
Sito-aaP2-sex_163_vs.5940_ribofiltered+trimmed	13179360	9052690	0	0	27327	0	0	0	0	1646663	0	0	2451375	0	1305	68.68838851051949
Sito-aaP2-sex_163_vs.5941_ribofiltered+trimmed	11838010	9048009	0	0	15761	0	0	0	0	197222	0	0	2575490	0	1528	76.43184116249269
Sito-aaP2_163_vs.5940_ribofiltered+trimmed	10833710	6996174	0	0	33083	0	0	0	0	2573395	0	0	1230392	0	666	64.57782237109909
Sito-aaP2_163_vs.5941_ribofiltered+trimmed	8629934	6988894	0	0	12436	0	0	0	0	217509	0	0	1410272	0	823	80.98432734248026
Sito-aaP3-sex_163_vs.5940_ribofiltered+trimmed	11817500	8291739	0	0	25696	0	0	0	0	1121988	0	0	2376864	0	1213	70.16491643748678
Sito-aaP3-sex_163_vs.5941_ribofiltered+trimmed	10923772	8291389	0	0	16110	0	0	0	0	148199	0	0	2466659	0	1415	75.90225244540073
Sito-aaP3_163_vs.5940_ribofiltered+trimmed	11901403	7244599	0	0	43836	0	0	0	0	3197991	0	0	1414212	0	765	60.87180645844864
Sito-aaP3_163_vs.5941_ribofiltered+trimmed	9167840	7233897	0	0	14079	0	0	0	0	279950	0	0	1638947	0	967	78.90514014206181
crassa-aP1-sex_163_vs.2489_ribofiltered+trimmed	10507922	9785646	0	0	20820	0	0	0	0	90752	0	0	595423	0	15281	93.12636694486312
crassa-aP1_163_vs.2489_ribofiltered+trimmed	8181694	7695456	0	0	178648	0	0	0	0	31896	0	0	266366	0	9328	94.05700090959158
crassa-aP2-sex_163_vs.2489_ribofiltered+trimmed	6721425	6107684	0	0	14583	0	0	0	0	115366	0	0	474329	0	9463	90.86888569016243
crassa-aP2_163_vs.2489_ribofiltered+trimmed	9060168	8485460	0	0	175116	0	0	0	0	54089	0	0	334580	0	10923	93.6567622145638
crassa-aP3_163_vs.2489_ribofiltered+trimmed	12966710	12210523	0	0	24437	0	0	0	0	109931	0	0	608901	0	12918	94.16824313954734
crassa-aaP1-sex_163_vs.2489_ribofiltered+trimmed	8347779	7844401	0	0	12566	0	0	0	0	49440	0	0	426544	0	14828	93.9699170282299
crassa-aaP1_163_vs.2489_ribofiltered+trimmed	9843992	9337903	0	0	14349	0	0	0	0	93530	0	0	388218	0	9992	94.8589048020356
crassa-aaP2-sex_163_vs.2489_ribofiltered+trimmed	10249710	9522347	0	0	26273	0	0	0	0	81682	0	0	604601	0	14807	92.90357483284893
crassa-aaP2_163_vs.2489_ribofiltered+trimmed	8798631	8174682	0	0	16589	0	0	0	0	148948	0	0	450195	0	8217	92.90856725324656
crassa-aaP3-sex_163_vs.2489_ribofiltered+trimmed	9941152	9245050	0	0	20068	0	0	0	0	99606	0	0	561017	0	15411	92.99777329629403
crassa-aaP3_163_vs.2489_ribofiltered+trimmed	9425206	8869311	0	0	17822	0	0	0	0	62015	0	0	467024	0	9034	94.10203872467085
crassa-ap3-sex_163_vs.2489_ribofiltered+trimmed	13508875	12673790	0	0	23526	0	0	0	0	87994	0	0	700778	0	22787	93.81824911400838
