sampleID	Annotation	Species	sample	number	genome	tissue	path
L10_BA_P3_veg	L10_BA	L10_BA	P3	merged	10707	veg	bamfiles/L10_BA/L10aaP3_merged_vs.10707_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L10_BA_P3_sex	L10_BA	L10_BA	P3	merged	10707	sex	bamfiles/L10_BA/L10aaP3-sex_merged_vs.10707_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L10_sa_P1_veg	L10_sa	L10_sa	P1	merged	10708	veg	bamfiles/L10_sa/L10aP1_merged_vs.10708_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L10_sa_P1_sex	L10_sa	L10_sa	P1	merged	10708	sex	bamfiles/L10_sa/L10aP1-sex_merged_vs.10708_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L10_sa_P2_veg	L10_sa	L10_sa	P2	merged	10708	veg	bamfiles/L10_sa/L10aP2_merged_vs.10708_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L10_sa_P2_sex	L10_sa	L10_sa	P2	merged	10708	sex	bamfiles/L10_sa/L10aP2-sex_merged_vs.10708_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L10_sa_P3_veg	L10_sa	L10_sa	P3	merged	10708	veg	bamfiles/L10_sa/L10aP3_merged_vs.10708_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L10_sa_P3_sex	L10_sa	L10_sa	P3	merged	10708	sex	bamfiles/L10_sa/L10aP3-sex_merged_vs.10708_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L6_BA_P1_veg	L6_BA	L6_BA	P1	merged	2508	veg	bamfiles/L6_BA/L6aaP1_merged_vs.2508_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L6_BA_P1_sex	L6_BA	L6_BA	P1	merged	2508	sex	bamfiles/L6_BA/L6aaP1-sex_merged_vs.2508_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L6_BA_P2_veg	L6_BA	L6_BA	P2	merged	2508	veg	bamfiles/L6_BA/L6aaP2_merged_vs.2508_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
